,Address,Style,Building Type,Basement Development,Exterior Finish,Fireplace,OwnershipType,Property Type,Bedrooms,Bathrooms,Amenities Nearby,Lot Size,Parking Type,No. of Parking Spaces,Storeys,Floor Area (m^2),Features,Condo Fees,Community Features,Price
689,"#704 -223 ST CLAIR AVE W, Toronto, Ontario, M4V 1R3",Apartment,Apartment,,"Brick, Stone",,Condominium/Strata,Single Family,2,2.0,"Hospital, Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,67.24000000000001,,$684 Monthly,,"$899,800"
690,"#807 -501 ST CLAIR AVE W, Toronto, Ontario, M5P 0A2",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Park, Public Transit, Schools",,Underground,,1.0,49.91,Balcony,"$1,019 Monthly",,"$899,000"
691,"#1404 -386 YONGE ST, Toronto, Ontario, M5B 0A5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Hospital, Park, Public Transit, Schools",,Underground,,1.0,85.87,Balcony,$613 Monthly,Community Centre,"$899,000"
692,"#3702 -295 ADELAIDE ST W, Toronto, Ontario",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2,2.0,"Hospital, Public Transit, Schools",,"Underground, Visitor parking",,1.0,,Balcony,$558 Monthly,Pets not Allowed,"$891,900"
693,"#1018 -20 RICHARDSON ST, Toronto, Ontario, M5A 4J9",Apartment,Apartment,,Concrete,,Shares in Co-operative,Single Family,2,2.0,,,Underground,,1.0,,Balcony,$372 Monthly,,"$859,995"
694,"518-30 Roehampton, Toronto, ON, M4P 1R2",Apartment,,,Concrete,,,,2+1,2.0,,,Underground,,1.0,62.05,Balcony,$527 Monthly,,"$829,000"
695,"#317 -25 THE ESPLANADE, Toronto, Ontario, M5E 1W5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1,1.0,,,Underground,,1.0,119.13,,$218 Monthly,,"$828,000"
696,"#806 -39 QUEENS QUAY E, Toronto, Ontario, M5E 0A5",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,1+1,1.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,71.39,Balcony,$617 Monthly,,"$828,000"
697,"#27 -22 APPLEWOOD LANE, Toronto, Ontario, M9C 2Z7",Townhouse,Row / Townhouse,Finished,Brick,,Condominium/Strata,Single Family,3,4.0,,,Underground,,3.0,57.98,,$396 Monthly,,"$819,999"
698,"#402 -530 INDIAN GROVE GRVE, Toronto, Ontario, M6P 2J2",Apartment,Apartment,,Brick,,Condominium/Strata,Single Family,1+1,2.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",,1.0,,Balcony,$521 Monthly,,"$799,900"
699,"#1306 -15 GREENVIEW AVE, Toronto, Ontario, M2M 2M7",Apartment,Apartment,,Concrete,,Condominium/Strata,Single Family,2+1,2.0,Public Transit,,"Underground, Visitor parking",,1.0,,Balcony,$726 Monthly,,"$799,900"
